filename,label
stack_overflow_vuln_0_x86_O0,1
stack_overflow_vuln_0_x86_O1,1
stack_overflow_vuln_0_x86_O2,1
stack_overflow_vuln_0_x86_O3,1
stack_overflow_vuln_1_x86_O0,1
stack_overflow_vuln_1_x86_O1,1
stack_overflow_vuln_1_x86_O2,1
stack_overflow_vuln_1_x86_O3,1
stack_overflow_vuln_2_x86_O0,1
stack_overflow_vuln_2_x86_O1,1
stack_overflow_vuln_2_x86_O2,1
stack_overflow_vuln_2_x86_O3,1
stack_overflow_vuln_3_x86_O0,1
stack_overflow_vuln_3_x86_O1,1
stack_overflow_vuln_3_x86_O2,1
stack_overflow_vuln_3_x86_O3,1
stack_overflow_vuln_4_x86_O0,1
stack_overflow_vuln_4_x86_O1,1
stack_overflow_vuln_4_x86_O2,1
stack_overflow_vuln_4_x86_O3,1
stack_overflow_vuln_5_x86_O0,1
stack_overflow_vuln_5_x86_O1,1
stack_overflow_vuln_5_x86_O2,1
stack_overflow_vuln_5_x86_O3,1
stack_overflow_vuln_6_x86_O0,1
stack_overflow_vuln_6_x86_O1,1
stack_overflow_vuln_6_x86_O2,1
stack_overflow_vuln_6_x86_O3,1
stack_overflow_vuln_7_x86_O0,1
stack_overflow_vuln_7_x86_O1,1
stack_overflow_vuln_7_x86_O2,1
stack_overflow_vuln_7_x86_O3,1
stack_overflow_vuln_8_x86_O0,1
stack_overflow_vuln_8_x86_O1,1
stack_overflow_vuln_8_x86_O2,1
stack_overflow_vuln_8_x86_O3,1
stack_overflow_vuln_9_x86_O0,1
stack_overflow_vuln_9_x86_O1,1
stack_overflow_vuln_9_x86_O2,1
stack_overflow_vuln_9_x86_O3,1
stack_safe_0_x86_O0,0
stack_safe_0_x86_O1,0
stack_safe_0_x86_O2,0
stack_safe_0_x86_O3,0
stack_safe_1_x86_O0,0
stack_safe_1_x86_O1,0
stack_safe_1_x86_O2,0
stack_safe_1_x86_O3,0
stack_safe_2_x86_O0,0
stack_safe_2_x86_O1,0
stack_safe_2_x86_O2,0
stack_safe_2_x86_O3,0
stack_safe_3_x86_O0,0
stack_safe_3_x86_O1,0
stack_safe_3_x86_O2,0
stack_safe_3_x86_O3,0
stack_safe_4_x86_O0,0
stack_safe_4_x86_O1,0
stack_safe_4_x86_O2,0
stack_safe_4_x86_O3,0
stack_safe_5_x86_O0,0
stack_safe_5_x86_O1,0
stack_safe_5_x86_O2,0
stack_safe_5_x86_O3,0
stack_safe_6_x86_O0,0
stack_safe_6_x86_O1,0
stack_safe_6_x86_O2,0
stack_safe_6_x86_O3,0
stack_safe_7_x86_O0,0
stack_safe_7_x86_O1,0
stack_safe_7_x86_O2,0
stack_safe_7_x86_O3,0
stack_safe_8_x86_O0,0
stack_safe_8_x86_O1,0
stack_safe_8_x86_O2,0
stack_safe_8_x86_O3,0
stack_safe_9_x86_O0,0
stack_safe_9_x86_O1,0
stack_safe_9_x86_O2,0
stack_safe_9_x86_O3,0
heap_overflow_vuln_0_x86_O0,1
heap_overflow_vuln_0_x86_O1,1
heap_overflow_vuln_0_x86_O2,1
heap_overflow_vuln_0_x86_O3,1
heap_overflow_vuln_1_x86_O0,1
heap_overflow_vuln_1_x86_O1,1
heap_overflow_vuln_1_x86_O2,1
heap_overflow_vuln_1_x86_O3,1
heap_overflow_vuln_2_x86_O0,1
heap_overflow_vuln_2_x86_O1,1
heap_overflow_vuln_2_x86_O2,1
heap_overflow_vuln_2_x86_O3,1
heap_overflow_vuln_3_x86_O0,1
heap_overflow_vuln_3_x86_O1,1
heap_overflow_vuln_3_x86_O2,1
heap_overflow_vuln_3_x86_O3,1
heap_overflow_vuln_4_x86_O0,1
heap_overflow_vuln_4_x86_O1,1
heap_overflow_vuln_4_x86_O2,1
heap_overflow_vuln_4_x86_O3,1
heap_overflow_vuln_5_x86_O0,1
heap_overflow_vuln_5_x86_O1,1
heap_overflow_vuln_5_x86_O2,1
heap_overflow_vuln_5_x86_O3,1
heap_overflow_vuln_6_x86_O0,1
heap_overflow_vuln_6_x86_O1,1
heap_overflow_vuln_6_x86_O2,1
heap_overflow_vuln_6_x86_O3,1
heap_overflow_vuln_7_x86_O0,1
heap_overflow_vuln_7_x86_O1,1
heap_overflow_vuln_7_x86_O2,1
heap_overflow_vuln_7_x86_O3,1
heap_overflow_vuln_8_x86_O0,1
heap_overflow_vuln_8_x86_O1,1
heap_overflow_vuln_8_x86_O2,1
heap_overflow_vuln_8_x86_O3,1
heap_overflow_vuln_9_x86_O0,1
heap_overflow_vuln_9_x86_O1,1
heap_overflow_vuln_9_x86_O2,1
heap_overflow_vuln_9_x86_O3,1
heap_safe_0_x86_O0,0
heap_safe_0_x86_O1,0
heap_safe_0_x86_O2,0
heap_safe_0_x86_O3,0
heap_safe_1_x86_O0,0
heap_safe_1_x86_O1,0
heap_safe_1_x86_O2,0
heap_safe_1_x86_O3,0
heap_safe_2_x86_O0,0
heap_safe_2_x86_O1,0
heap_safe_2_x86_O2,0
heap_safe_2_x86_O3,0
heap_safe_3_x86_O0,0
heap_safe_3_x86_O1,0
heap_safe_3_x86_O2,0
heap_safe_3_x86_O3,0
heap_safe_4_x86_O0,0
heap_safe_4_x86_O1,0
heap_safe_4_x86_O2,0
heap_safe_4_x86_O3,0
heap_safe_5_x86_O0,0
heap_safe_5_x86_O1,0
heap_safe_5_x86_O2,0
heap_safe_5_x86_O3,0
heap_safe_6_x86_O0,0
heap_safe_6_x86_O1,0
heap_safe_6_x86_O2,0
heap_safe_6_x86_O3,0
heap_safe_7_x86_O0,0
heap_safe_7_x86_O1,0
heap_safe_7_x86_O2,0
heap_safe_7_x86_O3,0
heap_safe_8_x86_O0,0
heap_safe_8_x86_O1,0
heap_safe_8_x86_O2,0
heap_safe_8_x86_O3,0
heap_safe_9_x86_O0,0
heap_safe_9_x86_O1,0
heap_safe_9_x86_O2,0
heap_safe_9_x86_O3,0
format_vuln_0_x86_O0,1
format_vuln_0_x86_O1,1
format_vuln_0_x86_O2,1
format_vuln_0_x86_O3,1
format_vuln_1_x86_O0,1
format_vuln_1_x86_O1,1
format_vuln_1_x86_O2,1
format_vuln_1_x86_O3,1
format_vuln_2_x86_O0,1
format_vuln_2_x86_O1,1
format_vuln_2_x86_O2,1
format_vuln_2_x86_O3,1
format_vuln_3_x86_O0,1
format_vuln_3_x86_O1,1
format_vuln_3_x86_O2,1
format_vuln_3_x86_O3,1
format_vuln_4_x86_O0,1
format_vuln_4_x86_O1,1
format_vuln_4_x86_O2,1
format_vuln_4_x86_O3,1
format_vuln_5_x86_O0,1
format_vuln_5_x86_O1,1
format_vuln_5_x86_O2,1
format_vuln_5_x86_O3,1
format_vuln_6_x86_O0,1
format_vuln_6_x86_O1,1
format_vuln_6_x86_O2,1
format_vuln_6_x86_O3,1
format_vuln_7_x86_O0,1
format_vuln_7_x86_O1,1
format_vuln_7_x86_O2,1
format_vuln_7_x86_O3,1
format_vuln_8_x86_O0,1
format_vuln_8_x86_O1,1
format_vuln_8_x86_O2,1
format_vuln_8_x86_O3,1
format_vuln_9_x86_O0,1
format_vuln_9_x86_O1,1
format_vuln_9_x86_O2,1
format_vuln_9_x86_O3,1
format_safe_0_x86_O0,0
format_safe_0_x86_O1,0
format_safe_0_x86_O2,0
format_safe_0_x86_O3,0
format_safe_1_x86_O0,0
format_safe_1_x86_O1,0
format_safe_1_x86_O2,0
format_safe_1_x86_O3,0
format_safe_2_x86_O0,0
format_safe_2_x86_O1,0
format_safe_2_x86_O2,0
format_safe_2_x86_O3,0
format_safe_3_x86_O0,0
format_safe_3_x86_O1,0
format_safe_3_x86_O2,0
format_safe_3_x86_O3,0
format_safe_4_x86_O0,0
format_safe_4_x86_O1,0
format_safe_4_x86_O2,0
format_safe_4_x86_O3,0
format_safe_5_x86_O0,0
format_safe_5_x86_O1,0
format_safe_5_x86_O2,0
format_safe_5_x86_O3,0
format_safe_6_x86_O0,0
format_safe_6_x86_O1,0
format_safe_6_x86_O2,0
format_safe_6_x86_O3,0
format_safe_7_x86_O0,0
format_safe_7_x86_O1,0
format_safe_7_x86_O2,0
format_safe_7_x86_O3,0
format_safe_8_x86_O0,0
format_safe_8_x86_O1,0
format_safe_8_x86_O2,0
format_safe_8_x86_O3,0
format_safe_9_x86_O0,0
format_safe_9_x86_O1,0
format_safe_9_x86_O2,0
format_safe_9_x86_O3,0
double_free_vuln_0_x86_O0,1
double_free_vuln_0_x86_O1,1
double_free_vuln_0_x86_O2,1
double_free_vuln_0_x86_O3,1
double_free_vuln_1_x86_O0,1
double_free_vuln_1_x86_O1,1
double_free_vuln_1_x86_O2,1
double_free_vuln_1_x86_O3,1
double_free_vuln_2_x86_O0,1
double_free_vuln_2_x86_O1,1
double_free_vuln_2_x86_O2,1
double_free_vuln_2_x86_O3,1
double_free_vuln_3_x86_O0,1
double_free_vuln_3_x86_O1,1
double_free_vuln_3_x86_O2,1
double_free_vuln_3_x86_O3,1
double_free_vuln_4_x86_O0,1
double_free_vuln_4_x86_O1,1
double_free_vuln_4_x86_O2,1
double_free_vuln_4_x86_O3,1
double_free_vuln_5_x86_O0,1
double_free_vuln_5_x86_O1,1
double_free_vuln_5_x86_O2,1
